Komoditas_Provinsi,MAPE
Telur Ayam Ras_Banten,0.017294779912198924
Telur Ayam Ras_Bengkulu,0.005533995151762855
Telur Ayam Ras_DI Yogyakarta,0.01730021803387682
Telur Ayam Ras_DKI Jakarta,0.019647636563949453
Telur Ayam Ras_Gorontalo,0.015442968749123522
Telur Ayam Ras_Jambi,0.007415659086882111
Telur Ayam Ras_Jawa Barat,0.011829880936975193
Telur Ayam Ras_Jawa Tengah,0.013339333526430254
Telur Ayam Ras_Jawa Timur,0.01399547345874147
Telur Ayam Ras_Kalimantan Barat,0.015912693914451624
Telur Ayam Ras_Kalimantan Selatan,0.010118113138463393
Telur Ayam Ras_Kalimantan Tengah,0.0067195515239482344
Telur Ayam Ras_Kalimantan Timur,0.018013356252481152
Telur Ayam Ras_Kalimantan Utara,0.016541808699921584
Telur Ayam Ras_Kepulauan Bangka Belitung,0.00554865930638529
Telur Ayam Ras_Kepulauan Riau,0.016766412603888167
Telur Ayam Ras_Lampung,0.010587214188925661
Telur Ayam Ras_Maluku Utara,0.0144547579309856
Telur Ayam Ras_Maluku,0.023232497182984545
Telur Ayam Ras_Nusa Tenggara Barat,0.012787122311037135
Telur Ayam Ras_Nusa Tenggara Timur,0.01625228258800894
Telur Ayam Ras_Papua Barat,0.037549543652426645
Telur Ayam Ras_Papua,0.009589853884926702
Telur Ayam Ras_Riau,0.007129056477411961
Telur Ayam Ras_Sulawesi Barat,0.01747047389822433
Telur Ayam Ras_Sulawesi Selatan,0.012886404692602632
Telur Ayam Ras_Sulawesi Tengah,0.019186011790432975
Telur Ayam Ras_Sulawesi Tenggara,0.02221657037055087
Telur Ayam Ras_Sulawesi Utara,0.015108742762730883
Telur Ayam Ras_Sumatera Barat,0.012573070747316725
Telur Ayam Ras_Sumatera Selatan,0.008865223458287623
Telur Ayam Ras_Sumatera Utara,0.005010631770177309
Tepung Terigu (Curah)_Aceh,0.007199334567881555
Tepung Terigu (Curah)_Bali,0.011312126833768747
Tepung Terigu (Curah)_Banten,0.008418519844515972
Tepung Terigu (Curah)_Bengkulu,0.005550003295874591
Tepung Terigu (Curah)_DI Yogyakarta,0.01979172278240163
Tepung Terigu (Curah)_DKI Jakarta,0.008928242888088635
Tepung Terigu (Curah)_Gorontalo,0.007616716342523591
Tepung Terigu (Curah)_Jambi,0.005847944845241933
Tepung Terigu (Curah)_Jawa Barat,0.005119662242642588
Tepung Terigu (Curah)_Jawa Tengah,0.014170608295523215
Tepung Terigu (Curah)_Jawa Timur,0.00942905956883962
Tepung Terigu (Curah)_Kalimantan Barat,0.005447747673186574
Tepung Terigu (Curah)_Kalimantan Selatan,0.007895660851075917
Tepung Terigu (Curah)_Kalimantan Tengah,0.004667764074982594
Tepung Terigu (Curah)_Kalimantan Timur,0.023894056201335702
Tepung Terigu (Curah)_Kalimantan Utara,0.0175228587094167
Tepung Terigu (Curah)_Kepulauan Bangka Belitung,0.008438550459594109
Tepung Terigu (Curah)_Kepulauan Riau,0.020928932673096257
Tepung Terigu (Curah)_Lampung,0.007298161656377298
Tepung Terigu (Curah)_Maluku Utara,0.007577331495288789
Tepung Terigu (Curah)_Maluku,0.010239312711932095
Tepung Terigu (Curah)_Nusa Tenggara Barat,0.007315949060746761
Tepung Terigu (Curah)_Nusa Tenggara Timur,0.009726069209910777
Tepung Terigu (Curah)_Papua Barat,0.021885143856997153
Tepung Terigu (Curah)_Papua,0.004624584063231128
Tepung Terigu (Curah)_Riau,0.00858341166680025
Tepung Terigu (Curah)_Sulawesi Barat,0.0077104343916691055
Tepung Terigu (Curah)_Sulawesi Selatan,0.0058395764645319615
Tepung Terigu (Curah)_Sulawesi Tengah,0.009464670567707565
Tepung Terigu (Curah)_Sulawesi Tenggara,0.01196868690823923
Tepung Terigu (Curah)_Sulawesi Utara,0.009883884150195378
Tepung Terigu (Curah)_Sumatera Barat,0.012026860037797333
Tepung Terigu (Curah)_Sumatera Selatan,0.031945484539426756
Tepung Terigu (Curah)_Sumatera Utara,0.008339409004933745
